,canada_unemployment_rates,unemployment_rates,canada_inflation_rate,inflation_rate,canada_total_cases,total_cases,canada_total_tests,total_tests,canada_people_fully_vaccinated,people_fully_vaccinated,canada_total_deaths,total_deaths,canada_reproduction_rate,reproduction_rate
24,True,False,True,True,True,True,True,True,True,True,True,True,False,False
25,False,True,False,True,True,False,True,True,True,True,False,True,True,False
26,False,False,True,False,True,True,True,True,True,True,False,False,True,False
27,True,True,True,False,True,True,True,True,True,True,False,True,False,False
28,False,False,True,False,True,True,True,True,True,True,False,True,False,True
29,False,False,False,False,False,True,False,True,True,True,False,True,False,False
30,False,False,True,False,False,True,False,True,True,True,False,True,True,True
31,False,True,True,True,False,True,False,True,True,True,False,True,False,False
32,False,True,True,False,False,True,False,True,False,False,False,True,False,False
33,False,False,True,False,False,False,False,False,False,False,False,True,False,False
34,False,False,False,False,False,False,False,False,False,False,False,True,True,False
35,False,False,False,False,True,False,False,False,False,False,False,False,True,True
