,support,itemsets
0,0.5777777777777777,frozenset({3})
1,0.5777777777777777,frozenset({2})
2,0.7333333333333333,frozenset({5})
3,0.7333333333333333,frozenset({4})
4,0.6222222222222222,frozenset({6})
5,0.6888888888888889,frozenset({11})
6,0.6888888888888889,frozenset({10})
7,0.5555555555555556,frozenset({7})
8,0.7333333333333333,"frozenset({4, 5})"
9,0.6222222222222222,"frozenset({4, 6})"
10,0.6222222222222222,"frozenset({5, 6})"
11,0.5777777777777777,"frozenset({10, 6})"
12,0.5777777777777777,"frozenset({11, 6})"
13,0.6222222222222222,"frozenset({4, 5, 6})"
14,0.5777777777777777,"frozenset({10, 4, 6})"
15,0.5777777777777777,"frozenset({11, 4, 6})"
16,0.5777777777777777,"frozenset({10, 5, 6})"
17,0.5777777777777777,"frozenset({11, 5, 6})"
18,0.5777777777777777,"frozenset({10, 11, 6})"
19,0.5777777777777777,"frozenset({10, 4, 5, 6})"
20,0.5777777777777777,"frozenset({11, 4, 5, 6})"
21,0.5777777777777777,"frozenset({10, 11, 4, 6})"
22,0.5777777777777777,"frozenset({10, 11, 5, 6})"
23,0.5777777777777777,"frozenset({4, 5, 6, 10, 11})"
24,0.6888888888888889,"frozenset({11, 4})"
25,0.6888888888888889,"frozenset({11, 5})"
26,0.6888888888888889,"frozenset({11, 4, 5})"
27,0.6888888888888889,"frozenset({10, 11})"
28,0.6888888888888889,"frozenset({10, 4})"
29,0.6888888888888889,"frozenset({10, 5})"
30,0.6888888888888889,"frozenset({10, 11, 4})"
31,0.6888888888888889,"frozenset({10, 11, 5})"
32,0.6888888888888889,"frozenset({10, 4, 5})"
33,0.6888888888888889,"frozenset({10, 11, 4, 5})"
34,0.5555555555555556,"frozenset({6, 7})"
35,0.5555555555555556,"frozenset({10, 7})"
36,0.5555555555555556,"frozenset({11, 7})"
37,0.5555555555555556,"frozenset({4, 7})"
38,0.5555555555555556,"frozenset({5, 7})"
39,0.5555555555555556,"frozenset({10, 6, 7})"
40,0.5555555555555556,"frozenset({11, 6, 7})"
41,0.5555555555555556,"frozenset({4, 6, 7})"
42,0.5555555555555556,"frozenset({5, 6, 7})"
43,0.5555555555555556,"frozenset({10, 11, 7})"
44,0.5555555555555556,"frozenset({10, 4, 7})"
45,0.5555555555555556,"frozenset({10, 5, 7})"
46,0.5555555555555556,"frozenset({11, 4, 7})"
47,0.5555555555555556,"frozenset({11, 5, 7})"
48,0.5555555555555556,"frozenset({4, 5, 7})"
49,0.5555555555555556,"frozenset({10, 11, 6, 7})"
50,0.5555555555555556,"frozenset({10, 4, 6, 7})"
51,0.5555555555555556,"frozenset({10, 5, 6, 7})"
52,0.5555555555555556,"frozenset({11, 4, 6, 7})"
53,0.5555555555555556,"frozenset({11, 5, 6, 7})"
54,0.5555555555555556,"frozenset({4, 5, 6, 7})"
55,0.5555555555555556,"frozenset({10, 11, 4, 7})"
56,0.5555555555555556,"frozenset({10, 11, 5, 7})"
57,0.5555555555555556,"frozenset({10, 4, 5, 7})"
58,0.5555555555555556,"frozenset({11, 4, 5, 7})"
59,0.5555555555555556,"frozenset({4, 6, 7, 10, 11})"
60,0.5555555555555556,"frozenset({5, 6, 7, 10, 11})"
61,0.5555555555555556,"frozenset({4, 5, 6, 7, 10})"
62,0.5555555555555556,"frozenset({4, 5, 6, 7, 11})"
63,0.5555555555555556,"frozenset({4, 5, 7, 10, 11})"
64,0.5555555555555556,"frozenset({4, 5, 6, 7, 10, 11})"
